------------------------------------- Убийство треда до исполнения скрипта ---------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------

using statement merging
Starting ExceptionHandler with pid 1
  1:	proc  0 (:init::1) mainThreads.pml:643 (state 1)	[(run ExceptionHandler())]
Starting GUIThread with pid 2
  2:	proc  0 (:init::1) mainThreads.pml:644 (state 2)	[(run GUIThread())]
  3:	proc  0 (:init::1) mainThreads.pml:59 (state 3)	[GUIThreadEvents!4]
  4:	proc  2 (GUIThread:1) mainThreads.pml:563 (state 1)	[GUIThreadEvents?signal]
  5:	proc  2 (GUIThread:1) mainThreads.pml:565 (state 2)	[((signal==runScript))]
              TrikGui started  5:	proc  2 (GUIThread:1) mainThreads.pml:566 (state 3)	[printf('TrikGui started')]
              
  5:	proc  2 (GUIThread:1) mainThreads.pml:566 (state 4)	[printf('\\n')]
              Starting TrikScriptRunner worker thread  5:	proc  2 (GUIThread:1) mainThreads.pml:571 (state 5)	[printf('Starting TrikScriptRunner worker thread')]
              
  5:	proc  2 (GUIThread:1) mainThreads.pml:571 (state 6)	[printf('\\n')]
Starting scriptWorkerThread with pid 3
  6:	proc  2 (GUIThread:1) mainThreads.pml:572 (state 7)	[(run scriptWorkerThread())]
              TrikScriptRunner: new script  7:	proc  2 (GUIThread:1) mainThreads.pml:574 (state 8)	[printf('TrikScriptRunner: new script')]
              
  7:	proc  2 (GUIThread:1) mainThreads.pml:574 (state 9)	[printf('\\n')]
  8:	proc  2 (GUIThread:1) mainThreads.pml:289 (state 10)	[(1)]
  9:	proc  2 (GUIThread:1) mainThreads.pml:290 (state 11)	[(1)]
 10:	proc  2 (GUIThread:1) mainThreads.pml:293 (state 14)	[((mState==0))]
 11:	proc  2 (GUIThread:1) mainThreads.pml:308 (state 111)	[(1)]
              ScriptEngineWorker: starting script 11:	proc  2 (GUIThread:1) mainThreads.pml:578 (state 113)	[printf('ScriptEngineWorker: starting script')]
              
 11:	proc  2 (GUIThread:1) mainThreads.pml:578 (state 114)	[printf('\\n')]
 12:	proc  2 (GUIThread:1) mainThreads.pml:579 (state 115)	[mState = 1]
 13:	proc  2 (GUIThread:1) mainThreads.pml:582 (state 116)	[threadId = 0]
 14:	proc  2 (GUIThread:1) mainThreads.pml:181 (state 117)	[assert((2>0))]
 14:	proc  2 (GUIThread:1) mainThreads.pml:183 (state 118)	[i = 0]
 15:	proc  2 (GUIThread:1) mainThreads.pml:184 (state 119)	[((i<2))]
 15:	proc  2 (GUIThread:1) mainThreads.pml:184 (state 120)	[abortEvaluationInvoked[i] = 0]
 15:	proc  2 (GUIThread:1) mainThreads.pml:184 (state 121)	[i = (i+1)]
 16:	proc  2 (GUIThread:1) mainThreads.pml:184 (state 119)	[((i<2))]
 16:	proc  2 (GUIThread:1) mainThreads.pml:184 (state 120)	[abortEvaluationInvoked[i] = 0]
 16:	proc  2 (GUIThread:1) mainThreads.pml:184 (state 121)	[i = (i+1)]
 17:	proc  2 (GUIThread:1) mainThreads.pml:185 (state 122)	[((i==2))]
 18:	proc  2 (GUIThread:1) mainThreads.pml:59 (state 129)	[scriptWorkerThreadEvents!7]
 19:	proc  3 (scriptWorkerThread:1) mainThreads.pml:541 (state 1)	[scriptWorkerThreadEvents?signal]
 20:	proc  3 (scriptWorkerThread:1) mainThreads.pml:543 (state 2)	[((signal==INVOKEdoRun))]
 21:	proc  3 (scriptWorkerThread:1) mainThreads.pml:544 (state 3)	[mErrorMessage = 0]
 22:	proc  3 (scriptWorkerThread:1) mainThreads.pml:181 (state 4)	[assert((2>0))]
 22:	proc  3 (scriptWorkerThread:1) mainThreads.pml:183 (state 5)	[i = 0]
 23:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 6)	[((i<2))]
 23:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 7)	[mFinishedThreads[i] = 0]
 23:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 8)	[i = (i+1)]
 24:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 6)	[((i<2))]
 24:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 7)	[mFinishedThreads[i] = 0]
 24:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 8)	[i = (i+1)]
 25:	proc  3 (scriptWorkerThread:1) mainThreads.pml:185 (state 9)	[((i==2))]
 26:	proc  3 (scriptWorkerThread:1) mainThreads.pml:183 (state 13)	[break]
 27:	proc  3 (scriptWorkerThread:1) mainThreads.pml:181 (state 16)	[assert((2>0))]
 27:	proc  3 (scriptWorkerThread:1) mainThreads.pml:183 (state 17)	[i = 0]
 28:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 18)	[((i<2))]
 28:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 19)	[mPreventFromStart[i] = 0]
 28:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 20)	[i = (i+1)]
 29:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 18)	[((i<2))]
 29:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 19)	[mPreventFromStart[i] = 0]
 29:	proc  3 (scriptWorkerThread:1) mainThreads.pml:184 (state 20)	[i = (i+1)]
 30:	proc  3 (scriptWorkerThread:1) mainThreads.pml:185 (state 21)	[((i==2))]
 31:	proc  3 (scriptWorkerThread:1) mainThreads.pml:183 (state 25)	[break]
 32:	proc  3 (scriptWorkerThread:1) mainThreads.pml:80 (state 28)	[catch!10]
 33:	proc  1 (ExceptionHandler:1) mainThreads.pml:628 (state 1)	[catch?FailedToOpenFileException]
 34:	proc  1 (ExceptionHandler:1) mainThreads.pml:630 (state 2)	[catch!returnControl]
 35:	proc  3 (scriptWorkerThread:1) mainThreads.pml:389 (state 30)	[catch?returnControl]
 36:	proc  3 (scriptWorkerThread:1) mainThreads.pml:393 (state 34)	[(1)]
 37:	proc  3 (scriptWorkerThread:1) mainThreads.pml:323 (state 44)	[(1)]
 38:	proc  3 (scriptWorkerThread:1) mainThreads.pml:324 (state 45)	[(1)]
 38:	proc  3 (scriptWorkerThread:1) mainThreads.pml:326 (state 46)	[tmp = 0]
